epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.6044,1.80928,0.43333,0.9,1.60653,0.00014,0.00014,0.00014
2,38.0061,1.58044,0.66667,0.98333,1.33125,0.000275645,0.000275645,0.000275645
3,57.1633,1.30975,0.88333,1,0.89336,0.00039644,0.00039644,0.00039644
4,82.0327,0.993,0.88333,1,0.58935,0.000502385,0.000502385,0.000502385
5,100.39,0.71842,0.91667,1,0.40533,0.00059348,0.00059348,0.00059348
6,113.978,0.55513,0.93333,1,0.31129,0.000669725,0.000669725,0.000669725
7,126.623,0.46526,0.95,1,0.27021,0.000703,0.000703,0.000703
8,139.647,0.34195,0.95,1,0.22756,0.0006535,0.0006535,0.0006535
9,151.78,0.29345,0.96667,1,0.20448,0.000604,0.000604,0.000604
10,163.904,0.26527,0.95,1,0.23054,0.0005545,0.0005545,0.0005545
11,176.387,0.20452,0.95,1,0.23976,0.000505,0.000505,0.000505
12,189.254,0.16099,0.98333,1,0.19503,0.0004555,0.0004555,0.0004555
13,202.157,0.20199,0.98333,1,0.2131,0.000406,0.000406,0.000406
14,214.722,0.13996,0.96667,1,0.18603,0.0003565,0.0003565,0.0003565
15,227.142,0.13407,0.96667,1,0.20817,0.000307,0.000307,0.000307
16,239.576,0.15644,0.96667,1,0.20773,0.0002575,0.0002575,0.0002575
17,251.951,0.13502,0.98333,1,0.1909,0.000208,0.000208,0.000208
18,264.388,0.08426,0.95,1,0.2024,0.0001585,0.0001585,0.0001585
19,276.767,0.0895,0.95,1,0.20887,0.000109,0.000109,0.000109
20,289.271,0.11804,0.98333,1,0.18754,5.95e-05,5.95e-05,5.95e-05
